company_name,postings_count,categories_spanned,cities_spanned,pct_salary_disclosed,pct_duplicate_ads,pct_of_total_postings,volume_rank
Australia Post Group,9,5,2,11.1,22.2,0.09,103
KPMG Australia,8,5,3,12.5,0.0,0.08,104
TwoScots Recruitment,8,2,1,62.5,0.0,0.08,105
Sharp & Carter Accounting Clerical,8,1,1,62.5,37.5,0.08,106
Logical Staffing Solutions,8,4,3,75.0,0.0,0.08,107
sharonbennie – Specialist Property Recruitment,8,3,3,62.5,0.0,0.08,108
Hays Marketing,8,3,4,25.0,0.0,0.08,109
Keegan Adams Recruitment Pty Ltd,8,2,2,87.5,0.0,0.08,110
Cater Care,8,2,4,0.0,0.0,0.08,111
Michael Page,8,2,3,37.5,0.0,0.08,112
CGC Recruitment,8,4,2,50.0,0.0,0.08,113
Spinifex Recruiting,8,5,5,62.5,0.0,0.08,114
Cornerstone HR,8,5,3,37.5,0.0,0.08,115
Richard Lloyd Accounting Recruitment,8,1,1,100.0,25.0,0.08,116
Australian Personnel Solutions,8,3,3,50.0,0.0,0.08,117
Sharp & Carter Finance and Accounting Sydney,8,1,1,62.5,0.0,0.08,118
JLL,8,2,5,0.0,25.0,0.08,119
MJD Executive,7,3,2,28.6,0.0,0.07,120
Beaumont People,7,4,3,57.1,0.0,0.07,121
NetYourJob,7,4,4,0.0,0.0,0.07,122
1st Call Recruitment,7,2,3,0.0,0.0,0.07,123
Aston Carter,7,4,2,0.0,0.0,0.07,124
Six Degrees Executive Pty Ltd,7,2,3,14.3,0.0,0.07,125
Flight Centre Travel Group,7,4,5,57.1,0.0,0.07,126
Clicks IT Recruitment (NSW),7,2,1,28.6,0.0,0.07,127
legal eagles,7,2,3,100.0,28.6,0.07,128
Workforce International Pty Ltd,7,3,3,0.0,0.0,0.07,129
Cox Purtell Staffing Services,7,4,1,100.0,28.6,0.07,130
Estia Health,7,5,4,0.0,0.0,0.07,131
M&T Resources,7,2,3,42.9,0.0,0.07,132
Insync Personnel,7,1,2,57.1,0.0,0.07,133
"Randstad - Sales, Marketing & Communications",7,5,4,71.4,0.0,0.07,134
Real Estate Career Developers,7,2,1,85.7,0.0,0.07,135
LOVISA,7,1,4,0.0,0.0,0.07,136
Suncorp,7,4,3,42.9,0.0,0.07,137
Capstone Recruitment Group Pty Ltd,7,3,2,42.9,0.0,0.07,138
Labourforce,7,3,6,42.9,0.0,0.07,139
Adecco Civil & Construction,7,2,2,0.0,28.6,0.07,140
Marshall McAdam,7,3,2,0.0,42.9,0.07,141
face2face Recruitment,7,3,4,85.7,0.0,0.07,142
Quay Appointments,7,7,2,57.1,0.0,0.07,143
Advanced Personnel Management,7,6,5,42.9,0.0,0.07,144
TFE Hotels,7,1,1,0.0,0.0,0.07,145
Employ,7,6,2,0.0,0.0,0.07,146
WorkPac - Professional,7,3,5,14.3,0.0,0.07,147
Serco Asia Pacific,7,6,4,42.9,0.0,0.07,148
Marble,7,2,3,100.0,57.1,0.07,149
Greythorn Experis,7,2,2,42.9,0.0,0.07,150
Lotus People,7,2,2,71.4,0.0,0.07,151
The Recruitment Company,7,4,2,85.7,0.0,0.07,152
BTA SALES PTY LTD,7,3,2,100.0,28.6,0.07,153
Launch Recruitment Pty Ltd,7,3,2,42.9,0.0,0.07,154
Sharp & Carter Business Support,7,2,2,85.7,28.6,0.07,155
Platinum Staff,7,1,2,14.3,0.0,0.07,156
TSHR – Trak and Scarlett,7,3,5,14.3,0.0,0.07,157
HealthShare NSW,6,5,3,83.3,0.0,0.06,158
Foxtel Management Pty Limited,6,2,1,0.0,0.0,0.06,159
RSEA Safety,6,2,5,0.0,0.0,0.06,160
FutureYou,6,5,2,83.3,0.0,0.06,161
Repco Australia - A Division of GPC Asia Pacific,6,2,5,83.3,0.0,0.06,162
Just Group,6,2,3,83.3,0.0,0.06,163
Downer EDI Limited,6,4,4,33.3,0.0,0.06,164
H2R Consulting,6,5,2,16.7,0.0,0.06,165
TNT,6,1,6,0.0,0.0,0.06,166
Optus,6,4,2,33.3,0.0,0.06,167
Momentum Consulting Group,6,5,3,0.0,0.0,0.06,168
Tecside Group,6,2,5,33.3,0.0,0.06,169
Shaver Shop Pty Ltd,6,1,4,0.0,0.0,0.06,170
The Australian National University,6,2,2,100.0,0.0,0.06,171
Macquarie Group Limited,6,3,1,33.3,0.0,0.06,172
The Recruitment Alternative,6,4,5,33.3,0.0,0.06,173
Aftercare Ltd,6,2,2,0.0,0.0,0.06,174
BMS Sales Performance,6,1,3,100.0,0.0,0.06,175
Technical Recruitment Solutions,6,4,3,0.0,0.0,0.06,176
AGL Energy,6,3,2,0.0,0.0,0.06,177
Symmetry HR –  VIC Commercial,6,2,1,100.0,0.0,0.06,178
Target Australia Pty Ltd,6,3,5,0.0,0.0,0.06,179
Ooh!,6,3,3,50.0,0.0,0.06,180
PETstock,6,2,5,0.0,0.0,0.06,181
Specsavers,6,2,4,0.0,0.0,0.06,182
Randstad - Education,6,1,3,100.0,33.3,0.06,183
The University of Sydney,6,4,1,100.0,0.0,0.06,184
Uniting NSW & ACT,6,3,1,0.0,0.0,0.06,185
Forsythes Recruitment,6,3,3,83.3,0.0,0.06,186
Gough Recruitment - Real Estate | Property | Development | Construction,6,3,3,16.7,0.0,0.06,187
TactiCall Recruitment Services,6,2,1,100.0,66.7,0.06,188
Jora New Zealand,6,1,4,0.0,0.0,0.06,189
